Brand,Name,Image URL,Fragrantica URL
Moschino,Funny Woman Edt,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/f/u/funny_woman_edt_c.jpg,https://www.fragrantica.com/perfume/Moschino/Moschino-Funny-1215.html
Moschino,Cheap And Chic So Real Woman Edt,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000260.jpg,https://www.fragrantica.com/perfume/Moschino/So-Real-Cheap-Chic-46867.html
Ungaro,Diva Rouge Pour Femme Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/8/0/8052464893607.jpg,https://www.fragrantica.com/perfume/Emanuel-Ungaro/Diva-Rouge-80695.html
Davidoff,Cool Water Reborn Woman Edt,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/0/0/0031031000024.jpg,https://www.fragrantica.com/perfume/Davidoff/Cool-Water-Reborn-for-Her-73604.html
Laura Biagiotti,Roma Fiori Bianchi Edt,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/8/0/8058045437109_2.jpg,https://www.fragrantica.com/perfume/Laura-Biagiotti/Roma-Fiori-Bianchi-79468.html
Moschino,I Love Love Woman Edt,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000623.jpg,https://www.fragrantica.com/perfume/Moschino/Cheap-Chic-I-Love-Love-728.html
Laura Biagiotti,Forever Gold For Her Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/l/b/lb-gold-for-her-60-ml.jpg,https://www.fragrantica.com/perfume/Laura-Biagiotti/Forever-Gold-75666.html
Laura Biagiotti,Roma Donna Edt,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302001058.jpg,https://www.fragrantica.com/perfume/Laura-Biagiotti/Roma-628.html
Calvin Klein,Euphoria Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000459.jpg,https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-253.html
Davidoff,Cool Water Woman Edt,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000306.jpg,https://www.fragrantica.com/perfume/Davidoff/Cool-Water-508.html
